Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,Analysis Date,Inspection Item,Activity,Position,Qty Budget,Unit Cost,Unit,Cost,U,Adj. U,RMax2,B/C,WorkYear
D64_01N_IDB1472,Road D64 over river,Bridge,Bridge,10/8/2012,01N,D64,1.00,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2.00,5380.00,No,10760.00,1,1,1,9.00,3
D671_01N_IDC0787,D671-02,Major Culvert,Culvert Major,10/16/2012,01N,D671,9.00,6/30/2022,10. Walls, 118. Repair spall (including honeycombing),C1,10.00,750.00,L,7500.00,3,4,1,13.00,3
D671_01N_IDC0787,D671-02,Major Culvert,Culvert Major,10/16/2012,01N,D671,9.00,6/30/2022,11. Top Slab, 118. Repair spall (including honeycombing),C1,30.00,750.00,L,22500.00,3,4,4,18.00,3
D631_01N_B4094,PIENAARS RIBVER BRIDGE,Bridge,Bridge,11/23/2012,01N,D631,10.40,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),AS,10.00,750.00,No,7500.00,2,4,1,13.00,3
D631_01N_B4094,PIENAARS RIBVER BRIDGE,Bridge,Bridge,11/23/2012,01N,D631,10.40,6/30/2022,06. Abutments, 120. Seal cracks,U1,5.00,750.00,m,3750.00,2,4,1,27.00,3
D631_01N_B4094,PIENAARS RIBVER BRIDGE,Bridge,Bridge,11/23/2012,01N,D631,10.40,6/30/2022,08. Surfacing, 207. Clear debris,BU,4.00,750.00,m3,3000.00,3,4,9,300.00,1
D631_01N_B4094,PIENAARS RIBVER BRIDGE,Bridge,Bridge,11/23/2012,01N,D631,10.40,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,12.00,3100.00,No,37200.00,1,1,1,3.00,3
D631_01N_B4094,PIENAARS RIBVER BRIDGE,Bridge,Bridge,11/23/2012,01N,D631,10.40,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P2,6.00,750.00,L,4500.00,1,1,4,89.00,3
D687_01N_B2293,Bridge over Suikerbosrand River,Bridge,Bridge,10/4/2012,01N,D687,18.00,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,20.00,3100.00,No,62000.00,2,4,1,2.00,3
D687_01N_B2293,Bridge over Suikerbosrand River,Bridge,Bridge,10/4/2012,01N,D687,18.00,6/30/2022,21. Miscellaneous Items, 604. Install clearance sign,BU,4.00,7640.00,No,30560.00,1,1,1,3.00,3
D687_01N_B2293,Bridge over Suikerbosrand River,Bridge,Bridge,10/4/2012,01N,D687,18.00,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),AS,15.00,750.00,L,11250.00,2,4,1,9.00,3
D687_01N_B2293,Bridge over Suikerbosrand River,Bridge,Bridge,10/4/2012,01N,D687,18.00,6/30/2022,10. Kerbs / Sidewalks, 118. Repair spall (including honeycombing),AS,6.00,750.00,L,4500.00,2,4,1,22.00,3
D687_01N_B2293,Bridge over Suikerbosrand River,Bridge,Bridge,10/4/2012,01N,D687,18.00,6/30/2022,11. Parapet, 101. Apply protective coating,AS,10.00,480.00,m2,4800.00,1,1,1,21.00,3
D755_01N_IDC1822,Tributary of Hennops River,Major Culvert,Culvert Major,10/31/2012,01N,D755,0.10,6/30/2022,08. Guardrails, 455. New guardrail (single and double),BE,80.00,950.00,m,76000.00,1,1,0,0.00,3
D755_01N_IDC1822,Tributary of Hennops River,Major Culvert,Culvert Major,10/31/2012,01N,D755,0.10,6/30/2022,14. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),BE,1.00,1080.00,No,1080.00,1,1,4,370.00,1
D755_01N_IDC1822,Tributary of Hennops River,Major Culvert,Culvert Major,10/31/2012,01N,D755,0.10,6/30/2022,14. Miscellaneous Items, 953. Ad-hoc item (describe under Remarks),E1,3.00,1080.00,No,3240.00,1,1,4,123.00,2
D67_01N_IDC1996,D67 over Suikerbosspruit,Bridge,Bridge Cellular,10/2/2012,01N,D67,2.80,6/30/2022,10. Walls, 118. Repair spall (including honeycombing),C1,20.00,750.00,L,15000.00,1,1,1,7.00,3
D67_01N_IDC1996,D67 over Suikerbosspruit,Bridge,Bridge Cellular,10/2/2012,01N,D67,2.80,6/30/2022,11. Top Slab, 118. Repair spall (including honeycombing),C1,10.00,750.00,L,7500.00,1,1,1,13.00,3
D755_01N_IDB2484,Hennops River Bridge,Bridge,Bridge,10/31/2012,01N,D755,3.30,6/30/2022,08. Surfacing, 502. Resurface or patch,AS,500.00,950.00,m2,475000.00,2,4,4,1.00,3
D755_01N_IDB2484,Hennops River Bridge,Bridge,Bridge,10/31/2012,01N,D755,3.30,6/30/2022,17. Expansion Joints, 317. Service multi-element joint,AP,48.00,15350.00,m,736800.00,2,4,4,1.00,3
D755_01N_IDB2484,Hennops River Bridge,Bridge,Bridge,10/31/2012,01N,D755,3.30,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,15.00,3100.00,No,46500.00,1,1,1,2.00,3
D755_01N_IDB2484,Hennops River Bridge,Bridge,Bridge,10/31/2012,01N,D755,3.30,6/30/2022,06. Abutments, 120. Seal cracks,BU,8.00,750.00,m,6000.00,2,4,4,67.00,3
D755_01N_IDB2484,Hennops River Bridge,Bridge,Bridge,10/31/2012,01N,D755,3.30,6/30/2022,03. Waterway, 207. Clear debris,S3,15.00,750.00,m3,11250.00,3,4,4,36.00,3
D755_01N_IDB2484,Hennops River Bridge,Bridge,Bridge,10/31/2012,01N,D755,3.30,6/30/2022,11. Parapet, 459. Paint steel rails,AS,50.00,750.00,m2,37500.00,1,1,1,3.00,3
D755_01N_IDB2484,Hennops River Bridge,Bridge,Bridge,10/31/2012,01N,D755,3.30,6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,U1,2.00,750.00,m,1500.00,2,4,4,267.00,1
D631_01N_B4093,STEEKRIET RIVER BRIDGE,Bridge,Bridge,11/23/2012,01N,D631,4.10,6/30/2022,11. Parapet, 457. New traffic barrier (Concrete F-Shape/NJ),S1,10.00,11540.00,m,115400.00,1,1,1,1.00,3
D631_01N_B4093,STEEKRIET RIVER BRIDGE,Bridge,Bridge,11/23/2012,01N,D631,4.10,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S1,10.00,750.00,L,7500.00,2,4,4,53.00,3
D631_01N_B4093,STEEKRIET RIVER BRIDGE,Bridge,Bridge,11/23/2012,01N,D631,4.10,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),S1,2.00,750.00,L,1500.00,2,4,1,67.00,3
D631_01N_B4093,STEEKRIET RIVER BRIDGE,Bridge,Bridge,11/23/2012,01N,D631,4.10,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,S1,4.00,3100.00,No,12400.00,1,1,1,8.00,3
D631_01N_B4093,STEEKRIET RIVER BRIDGE,Bridge,Bridge,11/23/2012,01N,D631,4.10,6/30/2022,06. Abutments, 118. Repair spall (including honeycombing),U1,5.00,750.00,L,3750.00,1,1,1,27.00,3
D631_01N_B4093,STEEKRIET RIVER BRIDGE,Bridge,Bridge,11/23/2012,01N,D631,4.10,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),S1,6.00,750.00,No,4500.00,1,1,4,89.00,3
D631_01N_B4093,STEEKRIET RIVER BRIDGE,Bridge,Bridge,11/23/2012,01N,D631,4.10,6/30/2022,02. Guardrail, 455. New guardrail (single and double),U2,35.00,950.00,m,33250.00,4,4,16,48.00,3
D621_01N_IDC2581,Tributary to Soutpanspruit C3,Major Culvert,Culvert Major,11/20/2012,01N,D621,5.60,6/30/2022,05. Waterway, 209. Clear siltation,AC,24.00,630.00,m3,15120.00,3,4,1,7.00,3
D621_01N_IDC2581,Tributary to Soutpanspruit C3,Major Culvert,Culvert Major,11/20/2012,01N,D621,5.60,6/30/2022,04. Embankment/s, 156. Gabion (mattresses and boxes),E2,1.00,3100.00,m3,3100.00,3,4,1,32.00,3
D64_01N_B3922,Road D64 over river,Bridge,Bridge,10/8/2012,01N,D64,11.00,6/30/2022,06. Abutments, 120. Seal cracks,BU,9.00,750.00,m,6750.00,1,1,4,59.00,3
D64_01N_B3922,Road D64 over river,Bridge,Bridge,10/8/2012,01N,D64,11.00,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,12.00,3100.00,No,37200.00,1,1,1,3.00,3
D64_01N_B3922,Road D64 over river,Bridge,Bridge,10/8/2012,01N,D64,11.00,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S1,3.00,750.00,L,2250.00,1,1,1,44.00,3
D64_01N_B3922,Road D64 over river,Bridge,Bridge,10/8/2012,01N,D64,11.00,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2.00,5380.00,No,10760.00,1,1,1,9.00,3
D64_01N_B1927,D64 over rail,Bridge,Bridge,10/10/2012,01N,D64,23.20,6/30/2022,02. Guardrail," 463. Repair guardrail (realign, bolt replacement, etc)",BU,6.00,630.00,m,3780.00,3,4,9,238.00,1
D64_01N_B1927,D64 over rail,Bridge,Bridge,10/10/2012,01N,D64,23.20,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),AS,15.00,750.00,L,11250.00,3,4,4,36.00,3
D64_01N_B1927,D64 over rail,Bridge,Bridge,10/10/2012,01N,D64,23.20,6/30/2022,14. Piers & Columns, 120. Seal cracks,AP,3.00,750.00,m,2250.00,1,1,4,178.00,1
D64_01N_B1927,D64 over rail,Bridge,Bridge,10/10/2012,01N,D64,23.20,6/30/2022,02. Guardrail, 467. Replace posts (steel or timber),BU,25.00,630.00,No,15750.00,4,4,9,57.00,3
D64_01N_B1927,D64 over rail,Bridge,Bridge,10/10/2012,01N,D64,23.20,6/30/2022,08. Surfacing, 207. Clear debris,BU,2.00,750.00,m3,1500.00,1,1,1,67.00,3
D64_01N_IDB1476,D64 over Rietspruit ,Bridge,Bridge,10/8/2012,01N,D64,1.00,6/30/2022,08. Surfacing, 502. Resurface or patch,BU,100.00,950.00,m2,95000.00,2,4,9,9.00,3
D64_01N_IDB1476,D64 over Rietspruit ,Bridge,Bridge,10/8/2012,01N,D64,1.00,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2.00,5380.00,No,10760.00,1,1,1,9.00,3
D64_01N_IDB1476,D64 over Rietspruit ,Bridge,Bridge,10/8/2012,01N,D64,1.00,6/30/2022,20. Decks and Slabs, 120. Seal cracks,S3-S5,12.00,750.00,m,9000.00,1,1,4,44.00,3
D64_01N_IDB1476,D64 over Rietspruit ,Bridge,Bridge,10/8/2012,01N,D64,1.00,6/30/2022,14. Piers & Columns, 120. Seal cracks,P1,1.00,750.00,m,750.00,1,1,1,133.00,1
D64_01N_IDB1476,D64 over Rietspruit ,Bridge,Bridge,10/8/2012,01N,D64,1.00,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P1,3.00,750.00,L,2250.00,1,1,1,44.00,3
D64_01N_IDB1476,D64 over Rietspruit ,Bridge,Bridge,10/8/2012,01N,D64,1.00,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,20.00,3100.00,No,62000.00,1,1,1,2.00,3
D64_01N_IDB1476,D64 over Rietspruit ,Bridge,Bridge,10/8/2012,01N,D64,1.00,6/30/2022,06. Abutments, 120. Seal cracks,U1,4.00,750.00,m,3000.00,1,1,4,133.00,1
D64_01N_IDB1476,D64 over Rietspruit ,Bridge,Bridge,10/8/2012,01N,D64,1.00,6/30/2022,03. Waterway, 405. Remove trees (girth > 500 mm),S1,1.00,3100.00,No,3100.00,1,1,1,32.00,3
D64_01N_IDB1476,D64 over Rietspruit ,Bridge,Bridge,10/8/2012,01N,D64,1.00,6/30/2022,03. Waterway, 209. Clear siltation,"S4,S5",100.00,630.00,m3,63000.00,1,1,1,2.00,3
D64_01N_IDB1476,D64 over Rietspruit ,Bridge,Bridge,10/8/2012,01N,D64,1.00,6/30/2022,02. Guardrail, 467. Replace posts (steel or timber),U2,4.00,630.00,No,2520.00,2,4,4,159.00,1
D64_01N_IDB1476,D64 over Rietspruit ,Bridge,Bridge,10/8/2012,01N,D64,1.00,6/30/2022,02. Guardrail," 463. Repair guardrail (realign, bolt replacement, etc)",U2,6.00,630.00,m,3780.00,2,4,4,106.00,2
D64_01N_IDB1476,D64 over Rietspruit ,Bridge,Bridge,10/8/2012,01N,D64,1.00,6/30/2022,11. Parapet, 456. New pedestrian parapet,S3,10.00,5090.00,m,50900.00,4,4,16,31.00,3
D755_01N_B2114,Hennops River Bridge,Bridge,Bridge,10/31/2012,01N,D755,1.80,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),U1,5.00,750.00,L,3750.00,1,1,16,427.00,1
D755_01N_B2114,Hennops River Bridge,Bridge,Bridge,10/31/2012,01N,D755,1.80,6/30/2022,19. Transverse Members, 118. Repair spall (including honeycombing),S2,8.00,750.00,L,6000.00,1,1,4,67.00,3
D755_01N_B2114,Hennops River Bridge,Bridge,Bridge,10/31/2012,01N,D755,1.80,6/30/2022,11. Parapet, 458. New/repair steel railing,AS,150.00,3100.00,m,465000.00,4,4,16,3.00,3
D755_01N_B2114,Hennops River Bridge,Bridge,Bridge,10/31/2012,01N,D755,1.80,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,20.00,3100.00,No,62000.00,1,1,1,2.00,3
D755_01N_B2114,Hennops River Bridge,Bridge,Bridge,10/31/2012,01N,D755,1.80,6/30/2022,08. Surfacing, 502. Resurface or patch,AS,300.00,950.00,m2,285000.00,2,4,4,1.00,3
D755_01N_B2114,Hennops River Bridge,Bridge,Bridge,10/31/2012,01N,D755,1.80,6/30/2022,03. Waterway, 207. Clear debris,U1,6.00,750.00,m3,4500.00,2,4,1,22.00,3
D755_01N_B2114,Hennops River Bridge,Bridge,Bridge,10/31/2012,01N,D755,1.80,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S1,5.00,750.00,L,3750.00,1,1,4,107.00,2
D755_01N_B2114,Hennops River Bridge,Bridge,Bridge,10/31/2012,01N,D755,1.80,6/30/2022,10. Kerbs / Sidewalks, 118. Repair spall (including honeycombing),AS,6.00,750.00,L,4500.00,1,1,1,22.00,3
D67_01N_IDB1464,Road D67 over Rietspruit,Bridge,Bridge,10/8/2012,01N,D67,1.00,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),P4,4.00,750.00,L,3000.00,1,1,4,133.00,1
D67_01N_IDB1464,Road D67 over Rietspruit,Bridge,Bridge,10/8/2012,01N,D67,1.00,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2.00,5380.00,No,10760.00,1,1,1,9.00,3
D67_01N_IDB1464,Road D67 over Rietspruit,Bridge,Bridge,10/8/2012,01N,D67,1.00,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),AS,5.00,750.00,L,3750.00,2,4,4,107.00,2
D67_01N_IDB1464,Road D67 over Rietspruit,Bridge,Bridge,10/8/2012,01N,D67,1.00,6/30/2022,15. Bearings," 253. Refurbish (corrosion protection, anchor bolts, etc)",AP,40.00,4640.00,No,185600.00,3,4,9,5.00,3
D67_01N_IDB1464,Road D67 over Rietspruit,Bridge,Bridge,10/8/2012,01N,D67,1.00,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,15.00,3100.00,No,46500.00,1,1,1,2.00,3
D67_01N_IDB1464,Road D67 over Rietspruit,Bridge,Bridge,10/8/2012,01N,D67,1.00,6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,BU,2.00,750.00,m,1500.00,1,1,4,267.00,1
D67_01N_IDB1464,Road D67 over Rietspruit,Bridge,Bridge,10/8/2012,01N,D67,1.00,6/30/2022,06. Abutments, 120. Seal cracks,U2,3.00,750.00,m,2250.00,1,1,4,178.00,1
D67_01N_IDB1464,Road D67 over Rietspruit,Bridge,Bridge,10/8/2012,01N,D67,1.00,6/30/2022,03. Waterway, 209. Clear siltation,AS,60.00,630.00,m3,37800.00,1,1,4,11.00,3
D67_01N_IDB1464,Road D67 over Rietspruit,Bridge,Bridge,10/8/2012,01N,D67,1.00,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,AP,50.00,6180.00,m,309000.00,3,4,4,1.00,3
D631_01N_B4095,BOSCHKOP RIVER BRIDGE,Bridge,Bridge,11/23/2012,01N,D631,12.50,6/30/2022,03. Waterway, 207. Clear debris,S1,4.00,750.00,m3,3000.00,1,1,4,133.00,1
D631_01N_B4095,BOSCHKOP RIVER BRIDGE,Bridge,Bridge,11/23/2012,01N,D631,12.50,6/30/2022,06. Abutments, 120. Seal cracks,U1,3.00,750.00,m,2250.00,1,1,1,44.00,3
D631_01N_B4095,BOSCHKOP RIVER BRIDGE,Bridge,Bridge,11/23/2012,01N,D631,12.50,6/30/2022,08. Surfacing, 207. Clear debris,BU,6.00,750.00,m3,4500.00,2,4,4,89.00,3
D631_01N_B4095,BOSCHKOP RIVER BRIDGE,Bridge,Bridge,11/23/2012,01N,D631,12.50,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,6.00,3100.00,No,18600.00,1,1,1,5.00,3
D631_01N_B4095,BOSCHKOP RIVER BRIDGE,Bridge,Bridge,11/23/2012,01N,D631,12.50,6/30/2022,11. Parapet, 459. Paint steel rails,AS,20.00,750.00,m2,15000.00,1,1,1,7.00,3
D631_01N_B4095,BOSCHKOP RIVER BRIDGE,Bridge,Bridge,11/23/2012,01N,D631,12.50,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),AP,10.00,750.00,L,7500.00,2,4,1,13.00,3
D1316_01N_B1564,D1316 over Osspruit,Bridge,Bridge,10/9/2012,,D1316,,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,5.00,3100.00,No,15500.00,1,1,1,6.00,3
D1316_01N_B1564,D1316 over Osspruit,Bridge,Bridge,10/9/2012,,D1316,,6/30/2022,11. Parapet, 458. New/repair steel railing,S1,5.00,3100.00,m,15500.00,1,1,4,26.00,3
D1316_01N_B1564,D1316 over Osspruit,Bridge,Bridge,10/9/2012,,D1316,,6/30/2022,11. Parapet, 454. New endblocks,"S1,S3",2.00,15350.00,No,30700.00,1,1,4,13.00,3
D620_01N_IDC2690,Tributary to Sand River C1,Major Culvert,Culvert Major,11/20/2012,01N,D620,2.10,6/30/2022,08. Guardrails, 455. New guardrail (single and double),E1,20.00,950.00,m,19000.00,4,4,4,21.00,3
D620_01N_IDC2690,Tributary to Sand River C1,Major Culvert,Culvert Major,11/20/2012,01N,D620,2.10,6/30/2022,08. Guardrails, 466. Replace bolts and washers,E1,1.00,340.00,No,340.00,3,4,4,1176.00,1
D620_01N_IDC2690,Tributary to Sand River C1,Major Culvert,Culvert Major,11/20/2012,01N,D620,2.10,6/30/2022,11. Top Slab, 118. Repair spall (including honeycombing),C1,2.00,750.00,L,0.00,0,0,1,9999999.00,1
D620_01N_IDC2690,Tributary to Sand River C1,Major Culvert,Culvert Major,11/20/2012,01N,D620,2.10,6/30/2022,14. Miscellaneous Items, 617. Replace road signs,BE,1.00,2480.00,m2,2480.00,4,4,0,0.00,3
D64_01N_IDB2069,D64 over Klip River,Bridge,Bridge,10/10/2012,01N,D64,22.80,6/30/2022,09. Superstructure Drainage, 353. Extend scupper below deck soffit,AS,16.00,3100.00,No,49600.00,1,1,1,2.00,3
D64_01N_IDB2069,D64 over Klip River,Bridge,Bridge,10/10/2012,01N,D64,22.80,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,AS,2.00,5380.00,No,10760.00,1,1,0,0.00,3
D64_01N_IDB2069,D64 over Klip River,Bridge,Bridge,10/10/2012,01N,D64,22.80,6/30/2022,10. Kerbs / Sidewalks, 609. Provide sidewalk,U1,1.00,1570.00,m2,1570.00,1,1,1,64.00,3
D64_01N_IDB2069,D64 over Klip River,Bridge,Bridge,10/10/2012,01N,D64,22.80,6/30/2022,08. Surfacing, 207. Clear debris,BU,2.00,750.00,m3,1500.00,1,1,1,67.00,3
D64_01N_IDB2069,D64 over Klip River,Bridge,Bridge,10/10/2012,01N,D64,22.80,6/30/2022,02. Guardrail, 467. Replace posts (steel or timber),BU,30.00,630.00,No,18900.00,4,4,9,48.00,3
D64_01N_IDB2069,D64 over Klip River,Bridge,Bridge,10/10/2012,01N,D64,22.80,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BU,100.00,950.00,m,95000.00,4,4,9,9.00,3
D64_01N_IDB2069,D64 over Klip River,Bridge,Bridge,10/10/2012,01N,D64,22.80,6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,BU,4.00,3100.00,No,12400.00,3,4,9,73.00,3
D64_01N_IDB2069,D64 over Klip River,Bridge,Bridge,10/10/2012,01N,D64,22.80,6/30/2022,14. Piers & Columns, 118. Repair spall (including honeycombing),"P1,P2",6.00,750.00,L,4500.00,1,1,1,22.00,3
D567_01N_IDC1706,PC4,Major Culvert,Culvert Major,10/24/2012,01N,D567,20.55,6/30/2022,02. Wing / Ret / Head Walls, 120. Seal cracks,BE,1.00,750.00,m,0.00,0,0,1,9999999.00,1
D620_01N_IDC2699,Tributary to Sand River C3,Major Culvert,Culvert Major,11/20/2012,01N,D620,3.60,6/30/2022,04. Embankment/s, 155. Earth backfill,E1,2.00,630.00,m3,1260.00,3,4,1,79.00,3
D620_01N_IDC2699,Tributary to Sand River C3,Major Culvert,Culvert Major,11/20/2012,01N,D620,3.60,6/30/2022,05. Waterway, 209. Clear siltation,"C2,C3",27.00,630.00,m3,17010.00,3,4,4,24.00,3
D57_01N_B4199,Road D57 over blesbok river at km 3.0,Bridge,Bridge,10/9/2012,01N,D57,3.00,6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,BU,12.00,750.00,m,9000.00,1,1,4,44.00,3
D57_01N_B4199,Road D57 over blesbok river at km 3.0,Bridge,Bridge,10/9/2012,01N,D57,3.00,6/30/2022,14. Piers & Columns, 120. Seal cracks,P1,16.00,750.00,m,12000.00,1,1,4,33.00,3
D57_01N_B4199,Road D57 over blesbok river at km 3.0,Bridge,Bridge,10/9/2012,01N,D57,3.00,6/30/2022,11. Parapet, 459. Paint steel rails,AS,60.00,750.00,m2,45000.00,1,1,1,2.00,3
D57_01N_B4199,Road D57 over blesbok river at km 3.0,Bridge,Bridge,10/9/2012,01N,D57,3.00,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),"S1,S2",5.00,750.00,L,3750.00,1,1,1,27.00,3
D57_01N_B4199,Road D57 over blesbok river at km 3.0,Bridge,Bridge,10/9/2012,01N,D57,3.00,6/30/2022,20. Decks and Slabs, 120. Seal cracks,AS,2.00,750.00,m,0.00,0,0,1,9999999.00,1
D57_01N_B4199,Road D57 over blesbok river at km 3.0,Bridge,Bridge,10/9/2012,01N,D57,3.00,6/30/2022,06. Abutments, 120. Seal cracks,BU,20.00,750.00,m,15000.00,1,1,4,27.00,3
D57_01N_B4199,Road D57 over blesbok river at km 3.0,Bridge,Bridge,10/9/2012,01N,D57,3.00,6/30/2022,03. Waterway, 404. Remove trees (girth < 500 mm),S1,2.00,750.00,No,1500.00,1,1,4,267.00,1
D57_01N_B4199,Road D57 over blesbok river at km 3.0,Bridge,Bridge,10/9/2012,01N,D57,3.00,6/30/2022,02. Guardrail, 467. Replace posts (steel or timber),U2,6.00,630.00,No,3780.00,4,4,9,238.00,1
D57_01N_B4199,Road D57 over blesbok river at km 3.0,Bridge,Bridge,10/9/2012,01N,D57,3.00,6/30/2022,02. Guardrail, 451. Attach guardrail to endblock,U2,1.00,3100.00,No,3100.00,3,4,9,290.00,1
D57_01N_B4199,Road D57 over blesbok river at km 3.0,Bridge,Bridge,10/9/2012,01N,D57,3.00,6/30/2022,10. Kerbs / Sidewalks, 120. Seal cracks,U2,3.00,750.00,m,2250.00,1,1,4,178.00,1
D57_01N_B4199,Road D57 over blesbok river at km 3.0,Bridge,Bridge,10/9/2012,01N,D57,3.00,6/30/2022,08. Surfacing, 502. Resurface or patch,BU,25.00,950.00,m2,23750.00,1,1,4,17.00,3
D713_01N_IDB0633,Railway Bridge,Bridge,Bridge,9/26/2012,01N,D713,20.00,6/30/2022,04. Approach Embankment Protection Works, 159. Stone pitching,BU,1.00,950.00,m2,950.00,1,1,1,105.00,2
D713_01N_IDB0633,Railway Bridge,Bridge,Bridge,9/26/2012,01N,D713,20.00,6/30/2022,04. Approach Embankment Protection Works, 401. Apply weed killer/ant poison and remove growth,BU,1.00,80.00,m2,80.00,1,1,1,1250.00,1
D713_01N_IDB0633,Railway Bridge,Bridge,Bridge,9/26/2012,01N,D713,20.00,6/30/2022,11. Parapet, 458. New/repair steel railing,AS,2.00,3100.00,m,6200.00,2,4,4,65.00,3
D713_01N_IDB0633,Railway Bridge,Bridge,Bridge,9/26/2012,01N,D713,20.00,6/30/2022,15. Bearings," 258. Service bearing (clear obstructions, etc)",BU,2.00,7640.00,No,15280.00,2,4,1,7.00,3
D636_01N_IDC2612,Tributary to Sand Rivier C1,Major Culvert,Culvert Major,11/20/2012,01N,D636,2.00,6/30/2022,02. Wing / Ret / Head Walls, 953. Ad-hoc item (describe under Remarks),E1,1.00,1080.00,No,1080.00,4,4,4,370.00,1
D636_01N_IDC2612,Tributary to Sand Rivier C1,Major Culvert,Culvert Major,11/20/2012,01N,D636,2.00,6/30/2022,08. Guardrails," 463. Repair guardrail (realign, bolt replacement, etc)",E2,20.00,630.00,m,12600.00,3,4,0,0.00,3
D636_01N_IDC2612,Tributary to Sand Rivier C1,Major Culvert,Culvert Major,11/20/2012,01N,D636,2.00,6/30/2022,04. Embankment/s, 953. Ad-hoc item (describe under Remarks),E1,1.00,1080.00,No,1080.00,4,4,16,1481.00,1
D636_01N_IDC2612,Tributary to Sand Rivier C1,Major Culvert,Culvert Major,11/20/2012,01N,D636,2.00,6/30/2022,08. Guardrails, 455. New guardrail (single and double),E1,50.00,950.00,m,47500.00,4,4,0,0.00,3
D57_01N_B2731,River bridge near Heidelberg,Major Culvert,Culvert Major,10/16/2012,01N,D57,7.80,6/30/2022,05. Waterway, 152. Backfill scour damage (mass concrete),C1,7.00,7640.00,m3,53480.00,2,4,4,7.00,3
D57_01N_B2731,River bridge near Heidelberg,Major Culvert,Culvert Major,10/16/2012,01N,D57,7.80,6/30/2022,09. Parapets / Handrails, 118. Repair spall (including honeycombing),BE,10.00,750.00,L,7500.00,2,4,4,53.00,3
D57_01N_B2731,River bridge near Heidelberg,Major Culvert,Culvert Major,10/16/2012,01N,D57,7.80,6/30/2022,09. Parapets / Handrails, 456. New pedestrian parapet,E2,2.00,5090.00,m,10180.00,4,4,4,39.00,3
K146_01N_IDB1470,K146 over rail and P46/1,Bridge,Bridge,10/8/2012,01N,D64,1.00,6/30/2022,17. Expansion Joints, 301. Install silicon/bituminous seal,AP,80.00,1220.00,m,97600.00,3,4,4,4.00,3
K146_01N_IDB1470,K146 over rail and P46/1,Bridge,Bridge,10/8/2012,01N,D64,1.00,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,7.00,5380.00,No,37660.00,1,1,1,3.00,3
K146_01N_IDB1470,K146 over rail and P46/1,Bridge,Bridge,10/8/2012,01N,D64,1.00,6/30/2022,20. Decks and Slabs, 120. Seal cracks,AS,7.00,750.00,m,5250.00,1,1,0,0.00,3
K146_01N_IDB1470,K146 over rail and P46/1,Bridge,Bridge,10/8/2012,01N,D64,1.00,6/30/2022,20. Decks and Slabs, 118. Repair spall (including honeycombing),S3,6.00,750.00,L,4500.00,1,1,0,0.00,3
K146_01N_IDB1470,K146 over rail and P46/1,Bridge,Bridge,10/8/2012,01N,D64,1.00,6/30/2022,02. Guardrail," 463. Repair guardrail (realign, bolt replacement, etc)",U2,6.00,630.00,m,3780.00,3,4,9,238.00,1
